product_id;price;product;brand;unit_price;units;categories;discount;date
239263;3.29;MIMOSÍN suavizante concentrado azul vital botella 60 lv;MIMOSÍN;0.05;€/Lavado;['Cuidado del hogar', 'Cuidado de la ropa'];;2023-03-26
37004;1.39;KINDER Bueno chocolate 43 gr;KINDER;32.33;€/Kg.;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];;2023-03-26
217626;3.09;NIKE colonia pink woman spray 30 ml;NIKE;103.0;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Colonias'];;2023-03-26
158936;2.19;NIVEA Q10 Plus mascarilla antiarrugas suave sachets 2 x 7.5 ml;NIVEA;146.0;€/l.;['Cuidado personal', 'Cuidado corporal', 'Crema facial'];;2023-03-26
275006;1.29;DIA SELECCIÓN MUNDIAL pasta penne paquete 500 gr;DIA SELECCIÓN MUNDIAL;2.58;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Pastas'];;2023-03-26
161619;1.39;DIA NATURMUNDO mini tortitas de maíz y arroz sabor jamón paquete 75 gr;DIA NATURMUNDO;18.53;€/Kg.;['Despensa', 'Dietéticos', 'Pérdida de peso'];;2023-03-26
162083;1.29;DIA SNACK MANIAC pipas gigantes con sal bolsa 200 gr;DIA SNACK MANIAC;6.45;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
263574;2.99;DIA SELECCIÓN MUNDIAL queso curado italiano pieza 200 gr;DIA SELECCIÓN MUNDIAL;14.95;€/Kg.;['Frescos', 'Charcutería y quesos', 'Quesos'];;2023-03-26
214775;2.79;DIA NATURMUNDO nueces sin cáscara al natural bolsa 200 gr;DIA NATURMUNDO;13.95;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
205133;1.25;AS snack para perros ternera bolsa 12 uds;AS;10.42;€/Kg.;['Mascotas', 'Perros'];;2023-03-26
41309;3.55;LA LECHERA leche condensada bote 450 gr;LA LECHERA;7.89;€/Kg.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-03-26
267967;0.99;DIA ICEBERG chicle sabor menta fuerte sin azúcar bolsa 45 gr;DIA ICEBERG;22.1;€/Kg.;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];;2023-03-26
169971;3.59;CUETARA Chocoflakes caja 520 gr;CUETARA;6.53;€/Kg.;['Despensa', 'Desayunos y dulces', 'Galletas'];;2023-03-26
184414;2.29;PROCELI pan tradicional SIN GLUTEN envase 160 gr;PROCELI;14.31;€/Kg.;['Despensa', 'Pan', 'Pan de molde'];;2023-03-26
51264;2.05;DIA MARI MARINERA potón en salsa americana pack de 3 latas 51 gr;DIA MARI MARINERA;13.4;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
260723;4.09;MY UNICORN gel y champú 2 en 1 bote 400 ml;MY UNICORN;10.23;€/l.;['Bebé', 'Cuidado del bebé'];;2023-03-26
269319;1.59;DIA SUPER PACO bolsa de basura con autocierre azul 30 lt rollo 30 uds;DIA SUPER PACO;0.05;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-26
138540;11.8;ALTOS DE TAMARON vino tinto reserva DO Ribera de Duero botella 75 cl;ALTOS DE TAMARON;15.73;€/l.;['Bodega', 'Vino', 'Tinto'];;2023-03-26
50740;2.11;LA ASTURIANA lenteja pardina paquete 500 gr;LA ASTURIANA;4.22;€/Kg.;['Despensa', 'Arroz y legumbres', 'Legumbres'];;2023-03-26
183288;1.35;EL MOLINO DE DIA picos integrales con aceite de oliva bolsa 200 gr;EL MOLINO DE DIA;6.75;€/Kg.;['Despensa', 'Pan', 'Picos de pan'];;2023-03-26
287336;2.09;FLAX&KALE queso vegano cheddar en lonchas envase 130 gr;FLAX;16.08;€/Kg.;['Frescos', 'Charcutería y quesos', 'Quesos'];;2023-03-26
209533;2.47;LA CARLOTEÑA redondo de pollo asado relleno de bacon envase 250 gr;LA CARLOTEÑA;9.88;€/Kg.;['Frescos', 'Carne', 'Pollo'];;2023-03-26
246425;1.45;ROCKSTAR bebida energética sabor guayaba lata 50 cl;ROCKSTAR;2.9;€/l.;['Bebidas', 'Bebidas isotónicas y energéticas'];;2023-03-26
1914;2.5;CACAOLAT batido de chocolate botella 1 lt;CACAOLAT;2.5;€/l.;['Bebidas', 'Batidos y horchata'];;2023-03-26
102932;15.99;TANQUERAY ginebra london dry botella 70 cl;TANQUERAY;22.84;€/l.24,27 €/l.;['Bodega', 'Alcoholes', 'Ginebra'];;2023-03-26
