date;product;product_id;brand;price;categories;unit_price;units;discount
2022-11-21;GUTARRA cardo troceado frasco 400 gr;187257;GUTARRA;3.25;['Despensa', 'Conservas', 'Conservas vegetales'];8.13;€/Kg.;
2022-11-21;DIA FIDIAS yogur griego con lima y limón pack 4 unidades 125 gr;272514;DIA FIDIAS;1.55;['Despensa', 'Lácteos y huevos', 'Yogures'];3.1;€/Kg.;
2022-11-21;HELLMANN'S gran mayonesa frasco 225 ml;219916;HELLMANN;1.79;['Despensa', 'Salsas', 'Mayonesa y otras salsas'];7.96;€/l.;
2022-11-21;MIDEL cono chuches celebración SIN GLUTEN bolsa 70 gr;249986;MIDEL;1.25;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];20.83;€/Kg.;
2022-11-21;TIO PEPE vino fino seco DO Jerez botella 75 cl;55338;TIO PEPE;6.99;['Bodega', 'Vino', 'Generoso y dulce'];9.32;€/l.;
2022-11-21;BRILLANTE arroz basmati vaso 2 x 125 gr;60069;BRILLANTE;1.39;['Despensa', 'Arroz y legumbres', 'Arroz'];5.56;€/Kg.;
2022-11-21;LAY'S patatas fritas al punto de sal bolsa 160 gr;11641;LAY;1.99;['Despensa', 'Aperitivos'];12.44;€/Kg.;
2022-11-21;Pan candeal grande 500 gr;185169;;1.49;['Despensa', 'Pan', 'Pan de horno'];2.98;€/Kg.;
2022-11-21;LISTERINE enjuague bucal menta fresca botella 500 ml;85738;LISTERINE;5.49;['Cuidado personal', 'Cuidado bucal'];10.98;€/l.;
2022-11-21;DIA EL DIABLO bebida energética lata 25 cl;64449;DIA EL DIABLO;0.55;['Bebidas', 'Bebidas isotónicas y energéticas'];2.2;€/l.;
2022-11-21;FRISKIES alimento para perros adultos con aves y verduras bolsa 3 Kg;155562;FRISKIES;7.69;['Mascotas', 'Perros'];2.56;€/Kg.;
2022-11-21;CABO DE PEÑAS calamares en salsa americana pack 3 latas 59 gr;282685;CABO DE PEÑAS;2.25;['Despensa', 'Conservas', 'Conservas de pescado'];12.71;€/Kg.;
